Temperatura,Umidade,Chuva,Vento,Delta T,sp,wh,ir,bp
0.020000,0.020000,0.020000,0.020000,0.020000,0.317531,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.020000,0.340000,0.317531,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.020000,0.660000,0.317531,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.020000,0.980000,0.317028,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.340000,0.020000,0.317531,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.340000,0.340000,0.317531,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.340000,0.660000,0.317531,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.340000,0.980000,0.317028,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.660000,0.020000,0.315450,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.660000,0.340000,0.315450,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.660000,0.660000,0.315450,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.660000,0.980000,0.315450,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.980000,0.020000,0.316876,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.980000,0.340000,0.316876,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.980000,0.660000,0.316876,0.500000,0.364947,0.167524
0.020000,0.020000,0.020000,0.980000,0.980000,0.316876,0.500000,0.364947,0.167524
0.020000,0.020000,0.340000,0.020000,0.020000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.020000,0.340000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.020000,0.660000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.340000,0.020000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.340000,0.340000,0.318654,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.340000,0.660000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.980000,0.660000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.340000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.020000,0.020000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.020000,0.340000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.020000,0.660000,0.315568,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.340000,0.020000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.340000,0.340000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.340000,0.660000,0.315568,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.980000,0.660000,0.315568,0.500000,0.364952,0.167524
0.020000,0.020000,0.660000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.020000,0.020000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.020000,0.340000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.020000,0.660000,0.317441,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.020000,0.980000,0.317028,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.340000,0.020000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.340000,0.340000,0.317531,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.340000,0.660000,0.317441,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.340000,0.980000,0.317028,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.660000,0.020000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.660000,0.340000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.660000,0.660000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.660000,0.980000,0.315450,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.980000,0.020000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.980000,0.340000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.980000,0.660000,0.316876,0.500000,0.364952,0.167524
0.020000,0.020000,0.980000,0.980000,0.980000,0.316876,0.500000,0.364952,0.167524
0.020000,0.340000,0.020000,0.020000,0.020000,0.199602,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.020000,0.340000,0.199602,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.020000,0.660000,0.135053,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.020000,0.980000,0.134670,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.340000,0.020000,0.199602,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.340000,0.340000,0.199602,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.340000,0.660000,0.135053,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.340000,0.980000,0.134670,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.660000,0.020000,0.197500,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.660000,0.340000,0.197500,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.660000,0.660000,0.133426,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.660000,0.980000,0.133426,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.980000,0.020000,0.198946,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.980000,0.340000,0.198946,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.980000,0.660000,0.134553,0.494041,0.201986,0.189349
0.020000,0.340000,0.020000,0.980000,0.980000,0.134553,0.494041,0.201986,0.189349
0.020000,0.340000,0.340000,0.020000,0.020000,0.199644,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.020000,0.340000,0.317522,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.020000,0.660000,0.135053,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.020000,0.980000,0.134670,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.340000,0.020000,0.199644,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.340000,0.340000,0.318654,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.340000,0.660000,0.135053,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.340000,0.980000,0.134670,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.660000,0.020000,0.133426,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.660000,0.340000,0.133426,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.660000,0.660000,0.133426,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.660000,0.980000,0.133426,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.980000,0.020000,0.134553,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.980000,0.340000,0.134553,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.980000,0.660000,0.134553,0.498887,0.365576,0.189349
0.020000,0.340000,0.340000,0.980000,0.980000,0.134553,0.498887,0.365576,0.189349
